Process,Categorization,Word,Definition,Notes,Link,Image,Markdown Equation,Dataset Size,Learning Type,Algorithm Class,Model,Ensemble
Data Preparation,Definition,Baseline,"Baseline represents the typical or expected behavior of an entity over a meaningful historical period. It answers the question “What is normal for this entity?” and provides context against which current state and changes can be interpreted. Baseline is conceptually stable even when its numeric value evolves, allowing models to distinguish structural differences between entities from temporary deviations. In modeling, Baseline is often foundational for defining identity and long-term segmentation.",,,,,,,,,
Data Preparation,Definition,Dimension,"A Dimension is a conceptual axis of behavior or meaning that you believe exists in the real world and want your model to represent. It answers a behavioral or semantic question, not a technical one. Dimensions are stable over time, even as data sources, features, or models change (for example, we always need to understand Current State, and rate of change, even though both of what is being studied may change drastically). They are the why behind your features.
Ultimately, it is the question, What Behaviour Matters.",,,,,,,,,
Data Preparation,Definition,Implementation,"An Implementation is a specific measurable representation of a dimension, constructed from available data. It answers the question: “How do we observe this dimension in practice?” Implementations can change as data improves, but they should always map clearly back to a single dimension. Examples include; 6-month rolling average balance, 12-month median transaction value, Seasonally adjusted mean.
Ultimately it is the question, How do we measure it.",,,,,,,,,
Data Preparation,Definition,Momentum,"Momentum represents the direction and rate of change in behavior over time. It answers the question “Is this entity increasing, decreasing, or remaining stable?” and captures transitional dynamics that are not visible from state or baseline alone. Momentum is critical for detecting emerging trends, shifts in behavior, and potential future movement between segments. In modeling, Momentum often explains why change is occurring rather than what the current condition is.",,,,,,,,,
Data Preparation,Definition,Parameter,"A Parameter is a tuning choice that controls how an implementation is calculated, without changing what it represents. Parameters affect sensitivity, smoothness, or scale, but not conceptual meaning. They are the knobs you turn during experimentation. Examples include Window length: 3M vs 6M vs 12M, Weighting scheme: equal vs exponential, Aggregation: mean vs median
Ultimately it is the questions, How do we compute it.",,,,,,,,,
Data Preparation,Definition,State,"State represents the current condition of an entity at a specific point in time. It answers the question “Where is this entity right now?” and reflects the most recent observed values of relevant measures. State is essential for anchoring decisions in the present but is insufficient on its own without historical context. In modeling, State provides immediacy and scale but must be interpreted alongside other dimensions to avoid over-reacting to short-term fluctuations.",,,,,,,,,
Data Preparation,Definition,Volatility,"Volatility represents the consistency or variability of behavior over time. It answers the question “How stable or predictable is this entity’s behavior?” and distinguishes steady patterns from irregular or erratic ones. Volatility provides important diagnostic context, helping differentiate sustained change from noise or one-off events. In modeling, Volatility is typically explanatory or risk-related rather than defining core identity.",,,,,,,,,
Data Preparation,Regularization,ElasticNet,Approach which combines L1 and L2 Regularization.,,,,"$$
J(\theta) = \mathrm{MSE}(\theta)
+ r \left( 2\alpha \sum_{i=1}^{n} \theta_i \right)
+ (1 - r)\left( \frac{\alpha}{m} \sum_{i=1}^{n} \theta_i^{2} \right)
$$","Small, Medium",,,,
Data Preparation,Regularization,Lasso,"Technique used to prevent overfitting by adding penalty term to loss function. Adds the absolute values of the coefficients as a penalty term. This leads to sparse models, as some coefficients become exactly zero",,,,"$$
J(\theta) = \sum_{i=1}^{m} \left( y_i - \hat{y}_i \right)^2 + \lambda \sum_{j=1}^{n} |\theta_j|
$$","Small, Medium",,,,
Data Preparation,Regularization,Ridge,"Technique used to prevent overfitting by adding penalty term to loss function. Adds the squared values of the coefficients as a penalty term. This incrases the cost of larger parameters, encouraging the model to distribute parameters waiting This shrinks the coefficients but does not eliminate them.","The equation that you use to calculate the cost function is not the function which is tested, you use the unconstrained model. ",,,"$$
J(\theta) = \sum_{i=1}^{m} \left( y_i - \hat{y}_i \right)^2 + \lambda \sum_{j=1}^{n} \theta_j^2
$$","Medium, Large",,,,
Model Evaluation,Feature Selection,Area Under the Curve,"AUC (Area Under the Curve) measures a model’s ability to distinguish between classes by summarizing the performance of the ROC (Receiver Operating Characteristic) curve. It represents the probability that the model ranks a randomly chosen positive example higher than a randomly chosen negative one. AUC ranges from 0.5 (no better than chance) to 1.0 (perfect separation), with higher values indicating better classification performance.
AUC is primarily a binary classification metric, so when using against a multivariate challenge must determine how to score, OVR, OVO. One Vs Rest, One vs One. Using MNist as an example, OVR evaluates 10 0 vs (1,2,3,4,5,6,7,8,9), 1 vs () ... etc, Where OVO measures 45 0 Vs 1, 0 vs 2, etc..",,,,,,,,,
Model Evaluation,Feature Selection,Bias,"Bias refers to the systematic error in a model that causes it to consistently deviate from the true value or correct predictions. It occurs when an algorithm makes incorrect assumptions or omissions about the data, leading to errors.
High Bias (Underfitting): The model is too simple and cannot capture patterns. 
Low Bias, High Variance (Overfitting). The model memorizes the data but does not generalize.",,,https://raw.githubusercontent.com/derek-dewald/d_functions/main/images/bias.png,"### **Unbiased Estimator Equation**
A parameter estimate \( \hat{\theta} \) is **unbiased** if its expected value equals the true parameter \( \theta \):

$$
\mathbb{E}[\hat{\theta}] = \theta
$$

where:
- $ \mathbb{E}[\hat{\theta}] $ is the expected value of the estimator.
- $ \theta $ is the true parameter.

### **Example: Sample Mean as an Unbiased Estimator**
The **sample mean** $ \bar{X} $ is an **unbiased estimator** of the population mean $ \mu $:

$$
\mathbb{E}[\bar{X}] = \mu
$$

where:
- $ \bar{X} = \frac{1}{n} \sum_{i=1}^{n} X_i $ is the sample mean.
- $ X_i $ are independent and identically distributed (i.i.d.) random variables.
- $ \mu $ is the true mean of the population.",,,,,
Model Evaluation,Feature Selection,Bias - Variance Trade Off,"The bias-variance trade-off is a key concept in machine learning that highlights the balance between two sources of error: bias and variance, tuning the relationship between a model's complexity, the accuracy of its predictions, and how well it can make predictions on previously unseen data that were not used to train the model The challenge is to find a model that strikes the right balance between bias and variance, as reducing one typically increases the other. The ultimate goal is to minimize the total error, which is the sum of bias error, variance error, and irreducible noise inherent in the data. Achieving this balance ensures the model generalizes well to new, unseen data, avoiding both underfitting and overfitting. More Data vs More Data Science - Bias vs Variance 
It can often be explained by the Trade-Off (Bias - Data Scientist, Variance - Data), where to invest.

In general, as we increase the number of tunable parameters in a model, it becomes more flexible, and can better fit a training data set. It is said to have lower error, or bias. However, for more flexible models, there will tend to be greater variance to the model fit each time we take a set of samples to create a new training data set. It is said that there is greater variance in the model's estimated parameters.High-variance learning methods may be able to represent their training set well but are at risk of overfitting to noisy or unrepresentative training data. In contrast, algorithms with high bias typically produce simpler models that may fail to capture important regularities (i.e. underfit) in the data.",,,https://raw.githubusercontent.com/derek-dewald/d_functions/main/images/bias.png,,,,,,
Model Evaluation,Feature Selection,Variance,"Variance refers to errors caused by models that are too sensitive to small fluctuations in the training data, often resulting in overfitting. High-variance models are overly flexible, capturing noise as if it were meaningful patterns. A model with many degrees of freedom (such as a high-degree polynomial model) is likely to have high variance and thus overfit the training data. As an example, if you created a model of How Predicting Housing Prices in 1 Neighbourhood would work and applied it to different neighbourhoods, if your model was simple, it wouldn’t work well anywhere and thus would be Wrong, but consistently-ish wrong. If your model was Good, it would work similarly well every well. If you model was overfit, it would work really well in 1 place, not so well elsewhere.
",,,,,,,,,
ML Model,General Principles,Machine Learning,"Using a process to enable computers to iteratively learn from the data and improve analysis, outcomes or understanding. Intersection of statistics, artificial intelligence and computer science. Machine's don't learn, they find optimal mathematical formulas based on the data it is presented. There is an assumption that this data set is both representative of other data sets,  and possess similiar statistical distributions', You can argue this is not learning, because slight variances can result in materially different responses and output, Term synonymous with machines doing tasks without explicitly being programmed. Building a statistical model, based on a dataset",,,,,,,,,
ML Model,General Principles,Optimization,"Optimization is the process of finding the best possible solution to a problem by systematically adjusting inputs or decisions to maximize or minimize a defined objective, subject to given constraints. In machine learning and analytics, optimization involves selecting model parameters that minimize error or maximize performance according to a chosen loss function. Importantly, what is considered “best” depends entirely on how the objective and constraints are defined.",,,,,,,,,
ML Model,Pipeline Stage,Model Summarization / Model Interpretability,"Model summarization and interpretability aim to explain how the model makes decisions. This may include feature importance, partial dependence plots, SHAP values, or rule extraction. Interpretability builds trust with stakeholders and supports debugging, governance, and compliance. It is especially critical in high-stakes or regulated domains.",,,,,,,,,
ML Model,Pipeline Stage,Monitoring,"Monitoring tracks model performance and behavior over time after deployment. It includes detecting data drift, concept drift, performance degradation, and operational issues. Alerts and retraining triggers are often established at this stage. Monitoring is essential because real-world data changes, and models degrade if left unattended.",,,,,,,,,
Mathematics,Concept,Homoscedasticity,Variance of the residuals should be constant.,Updated REquired as more to BLUE,,,,,,,,
Mathematics,Concept,Independence,Observations should be independent of each other. No Correlation between errors of residuals. Errors are autocorrelated with self. Durbin Watson,Updated REquired as more to BLUE,,,,,,,,
Mathematics,Concept,Linearity,Relationship between Independent and Dependent should be Linear. With finite variance,Updated REquired as more to BLUE,,,,,,,,
Mathematics,Concept,Normality,Residuals should be normally distributed.,Updated REquired as more to BLUE,,,,,,,,
Mathematics,Definition,Constraint,"A constraint is something that restricts or penalizes the solution space. It does not: directly compute outputs, directly update parameters.  Instead, it: limits what solutions are allowed nudges learning toward simplicity or stability",,,,,,,,,
Mathematics,Definition,Function,"A function is a direct mathematical mapping: given an input, it deterministically produces an output. There is: no memory, no iteration, no learning history.",,,,,,,,,
Mathematics,Property,Colinearity,No perfect linear relationship between residuals,Updated REquired as more to BLUE,,,,,,,,
Mathematics,Theorem,Best Linear Unbiased Estimator,"The Best Linear Unbiased Estimator (BLUE) is an estimation method in statistics that produces parameter estimates that are linear in the observed data, unbiased, and have the smallest possible variance among all such estimators. It originates from the Gauss–Markov theorem, developed in the early 19th century in the context of least squares and error theory. Its importance lies in providing a theoretical benchmark: under specific assumptions about error structure, no other linear unbiased estimator can be more precise. In practice, BLUE underpins ordinary and generalized least squares, and is widely applied in econometrics, engineering, and data science when modeling relationships with correlated or heteroskedastic errors",,,,,,,,,
Mathematics,Theorem,Algorithm,"An algorithm is a procedure that unfolds over time and depends on: previous states, iteration history and accumulated information.",,,,,,,,,
ML Model,Algorithm,Ada,"Boosting technique that combines multiple weak learners (usually decision stumps) into a strong learner. ModelStrengths: Handles weak learners well, reduces overfitting. Model Weaknesses: Sensitive to noisy data, requires careful tuning of learning rate.",,,,,,,,,
ML Model,Algorithm,AdaBoostClassifier,"AdaBoostClassifier is an ensemble boosting algorithm that builds a strong classifier by sequentially combining many weak learners, typically decision stumps. It is important because it focuses learning on previously misclassified examples, often achieving high accuracy with simple base models. AdaBoost is commonly used when data is moderately sized and relatively clean. It can be sensitive to noise and outliers due to its reweighting mechanism.",,,,,"Small, Medium",Supervised,Classification,Linear,1.0
ML Model,Algorithm,AdaBoostRegressor,,,,,,"Small, Medium",,,,
ML Model,Algorithm,AffinityPropagation,,,,,,Small,,,,
ML Model,Algorithm,Agentic AI,"Perform a Specific Task, Autonomously while learning its environment.",,,,,,,,,
ML Model,Algorithm,AgglomerativeClustering,"Agglomerative Clustering is a type of hierarchical clustering that uses a bottom-up approach. Each data point starts in its own cluster, and pairs of clusters are merged step by step based on similarity until all points are in one cluster (or a stopping criterion is met). Strengths: Doesn’t require you to specify the number of clusters up front (if using a dendrogram). Can capture nested cluster structure. Weaknesses; Computationally expensive for large datasets (O(n²)).Once merged, clusters can't be split.",,,,,Small,,,,
ML Model,Algorithm,ARDRegression,,,,,,"Small, Medium",,,,
ML Model,Algorithm,BaggingClassifier,,,,,,"Medium, Large",,,,
ML Model,Algorithm,BaggingRegressor,,,,,,"Medium, Large",,,,
ML Model,Algorithm,BayesianGaussianMixture,,,,,,Small,,,,
ML Model,Algorithm,BayesianRidge,,,,,,"Small, Medium",,,,
ML Model,Algorithm,BernoulliNB,,,,,,"Medium, Large",,,,
ML Model,Algorithm,BernoulliRBM,,,,,,Small,,,,
ML Model,Algorithm,Bidirectional Encoder Representations from Transformers (BERT)," It’s a deep learning model for NLP developed by Google in 2018 that understands the context of words in a sentence by looking in both directions — left and right. This is a major upgrade over older models that only read text left-to-right or right-to-left. BERT is like someone reading a sentence and filling in blanks based on the full context.GPT is like someone writing a sentence one word at a time, based only on what they’ve written so far.",,,,,,,,,
ML Model,Algorithm,Binarizer,,,,,,Large,,,,
ML Model,Algorithm,Birch,,,,,,"Medium, Large",,,,
ML Model,Algorithm,BisectingKMeans,,,,,,"Medium, Large",,,,
ML Model,Algorithm,CalibratedClassifierCV,,,,,,"Small, Medium",,,,
ML Model,Algorithm,CategoricalNB,,,,,,"Medium, Large",,,,
ML Model,Algorithm,CCA,,,,,,Small,,,,
ML Model,Algorithm,ClassifierChain,,,,,,"Small, Medium",,,,
ML Model,Algorithm,ComplementNB,,,,,,"Medium, Large",,,,
ML Model,Algorithm,Convolutional Neural Network,,,,,,,,,,
ML Model,Algorithm,CountVectorizer,,,,,,Large,,,,
ML Model,Algorithm,DBSCAN,DBSCAN is a density-based clustering algorithm that groups points based on local neighborhood density without requiring a predefined number of clusters. It is especially useful for identifying anomalies and non-spherical clusters. DBSCAN’s strength is its ability to label noise explicitly and handle irregular cluster shapes. Its main weakness is poor scalability and difficulty tuning parameters when data density varies widely.,,,,,"Small, Medium",Unsupervised,Clustering,Denisty Based Clustering,
ML Model,Algorithm,Decision Trees,"An ensemble of decision trees using bagging to reduce overfitting and improve accuracy. ModelStrengths: Reduces overfitting, robust to noise, handles high-dimensional data well. Model Weaknesses': ""Computationally expensive, less interpretable than a single tree.

Algorithm which splits data into branches based on feature values to make decisions or predicitions. Each internal node represents a feature, each branch represens a a decision rule and each leaf node represents an outcome. Decision Trees are popular because they are simple to interpret, require litte data preprocessing and can handle both classificaiton and regression. Their strengths include handling both numerical and catoegorical data, providiing clear visual representations of decisions. They are prone to overfitting and sensitive to noisy data. They work well in scenarios where interpretabiltiy is important, but struggle with high dimensional data when complex relationships exist. ",,,,,,,,,
ML Model,Algorithm,DecisionTreeClassifier,,,,,,Medium,,,,
ML Model,Algorithm,DecisionTreeRegressor,,,,,,Medium,,,,
ML Model,Algorithm,DictionaryLearning,,,,,,Small,,,,
ML Model,Algorithm,DictVectorizer,,,,,,Large,,,,
ML Model,Algorithm,DummyClassifier,,,,,,"Small, Medium, Large",,,,
ML Model,Algorithm,DummyRegressor,,,,,,"Small, Medium, Large",,,,
ML Model,Algorithm,ElasticNetCV,,,,,,"Small, Medium",,,,
ML Model,Algorithm,EllipticEnvelope,,,,,,Small,,,,
ML Model,Algorithm,EmpiricalCovariance,,,,,,Small,,,,
ML Model,Algorithm,ExtraTreeClassifier,,,,,,Medium,,,,
ML Model,Algorithm,ExtraTreeRegressor,,,,,,Medium,,,,
ML Model,Algorithm,ExtraTreesClassifier,,,,,,"Medium, Large",,,,
ML Model,Algorithm,ExtraTreesRegressor,,,,,,"Medium, Large",,,,
ML Model,Algorithm,FactorAnalysis,,,,,,"Small, Medium",,,,
ML Model,Algorithm,FastICA,,,,,,Small,,,,
ML Model,Algorithm,FeatureAgglomeration,,,,,,Small,,,,
ML Model,Algorithm,FeatureHasher,,,,,,Large,,,,
ML Model,Algorithm,FeatureUnion,,,,,,Large,,,,
ML Model,Algorithm,FixedThresholdClassifier,,,,,,Unknown,,,,
ML Model,Algorithm,FrozenEstimator,,,,,,Unknown,,,,
ML Model,Algorithm,GammaRegressor,,,,,,"Small, Medium",,,,
ML Model,Algorithm,GaussianMixture,,,,,,Small,,,,
ML Model,Algorithm,GaussianNB,,,,,,"Medium, Large",,,,
ML Model,Algorithm,GaussianProcessClassifier,,,,,,Small,,,,
ML Model,Algorithm,GaussianProcessRegressor,,,,,,Small,,,,
ML Model,Algorithm,GaussianRandomProjection,,,,,,Large,,,,
ML Model,Algorithm,Generalaized Liner Model,,,,,,,,,,
ML Model,Algorithm,GenericUnivariateSelect,,,,,,Large,,,,
ML Model,Algorithm,Gradient Descent,"Widely used optimization algorithm in machine learning, particularly for training models like neural networks. Its primary goal is to minimize a loss function, which measures the error between the model's predictions and the actual outcomes, by iteratively adjusting the model’s parameters.

Traditional Gradient Descent vs. Stochastic Gradient Descent
In Batch Gradient Descent, the algorithm computes the gradient of the loss function with respect to the model’s parameters using the entire dataset before updating the parameters. While this approach provides a precise update direction, it is computationally expensive and slow for large datasets since it requires processing all data points in each iteration.

Stochastic Gradient Descent (SGD) addresses this issue by approximating the gradient. Instead of computing gradients over the full dataset, SGD updates the model’s parameters using just a single data point at each step. This significantly reduces computational cost per iteration, making the algorithm much faster. However, since updates are based on a single random sample, they introduce high variance (noise), causing fluctuations that may prevent smooth convergence.
Mini-Batch Gradient Descent: To balance efficiency and stability, a common alternative is Mini-Batch Gradient Descent. Instead of using the full dataset (Batch Gradient Descent) or a single data point (SGD), Mini-Batch Gradient Descent computes updates using a small batch of randomly selected data points (e.g., 32, 64, or 128 samples per batch). This approach: Reduces noise compared to SGD while still being computationally efficient. 
Leverages vectorized operations for faster computation using modern hardware (e.g., GPUs).
Smooths out updates while still allowing some stochasticity to escape local minima.
Benefits & Trade-offs of SGD
Faster updates: Each iteration is computationally cheaper than full-batch gradient descent.
Better exploration: The randomness in updates helps escape local minima.
Higher variance: The noisier updates may lead to less stable convergence, requiring techniques like learning rate decay or momentum to improve performance.
Slower convergence: Since updates are less precise, SGD may take longer to reach the optimal solution.
Conclusion
SGD, Mini-Batch Gradient Descent, and Batch Gradient Descent each offer different trade-offs in terms of speed, stability, and computational efficiency. In practice, Mini-Batch Gradient Descent is the most commonly used approach for deep learning, as it provides a balance between computational efficiency and convergence stability.",,,,"$$
\theta_{t+1} = \theta_t - \alpha \nabla J(\theta_t)
$$

where:
- \( \theta_t \) are the parameters at step \( t \),
- \( \alpha \) is the learning rate,
- \( \nabla J(\theta_t) \) is the gradient of the loss function \( J \).

Predicitions: $\sigma(XW^T)$
Differences: $\sigma(XW^T) - Y$
Gradient: $\frac{1}{m} (\sigma(XW^T) -Y)$",,,,,
ML Model,Algorithm,GradientBoostingClassifier,,,,,,Medium,,,,
ML Model,Algorithm,GradientBoostingRegressor,,,,,,Medium,,,,
ML Model,Algorithm,GraphicalLasso,,,,,,Small,,,,
ML Model,Algorithm,GraphicalLassoCV,,,,,,Small,,,,
ML Model,Algorithm,GridSearchCV,,,,,,"Small, Medium",,,,
ML Model,Algorithm,HashingVectorizer,,,,,,Large,,,,
ML Model,Algorithm,HDBSCAN,HDBSCAN is an extension of DBSCAN that builds a hierarchy of density-based clusters and selects stable ones automatically. It answers similar questions to DBSCAN but with improved robustness and less manual parameter tuning. Its strengths are better performance on real-world data and more reliable cluster discovery. Its weaknesses include higher computational cost and more complex interpretation.,,,,,"Small, Medium",,,,
ML Model,Algorithm,HistGradientBoostingClassifier,,,,,,Large,,,,
ML Model,Algorithm,HistGradientBoostingRegressor,,,,,,Large,,,,
ML Model,Algorithm,HuberRegressor,,,,,,Small,,,,
ML Model,Algorithm,IncrementalPCA,,,,,,Large,,,,
ML Model,Algorithm,IsolationForest,,,,,,"Medium, Large",,,,
ML Model,Algorithm,Isomap,,,,,,Small,,,,
ML Model,Algorithm,IsotonicRegression,,,,,,Small,,,,
ML Model,Algorithm,KBinsDiscretizer,,,,,,Large,,,,
ML Model,Algorithm,KernelCenterer,,,,,,"Small, Medium, Large",,,,
ML Model,Algorithm,KernelDensity,,,,,,Small,,,,
ML Model,Algorithm,KernelPCA,,,,,,Small,,,,
ML Model,Algorithm,KernelRidge,,,,,,Small,,,,
ML Model,Algorithm,KMeans,,,,,,Medium,,,,
ML Model,Algorithm,KNeighborsClassifier,,,,,,Small,,,,
ML Model,Algorithm,KNeighborsRegressor,,,,,,Small,,,,
ML Model,Algorithm,KNN,"k-Nearest Neighbors is a non-parametric, instance-based method that measures similarity between observations using a distance metric in feature space. It answers the question: “Which existing observations are most similar to this one?”rather than learning global patterns or groups. Its strengths are simplicity, transparency, and usefulness for validation, comparison, and recommendation-style problems. Its weaknesses are lack of global structure, sensitivity to feature scaling and noise, and limited interpretability for broad segmentation or storytelling",,,,,Large,Unsupervised,Clustering,Instance Based Learning,
ML Model,Algorithm,KNNImputer,,,,,,Medium,,,,
ML Model,Algorithm,LabelBinarizer,,,,,,Large,,,,
ML Model,Algorithm,LabelPropagation,,,,,,"Small, Medium",,,,
ML Model,Algorithm,LabelSpreading,,,,,,"Small, Medium",,,,
ML Model,Algorithm,Large Language Model (LLM),Understanding and Generating Human Like Text,,,,,,,,,
ML Model,Algorithm,Lars,,,,,,"Small, Medium",,,,
ML Model,Algorithm,LarsCV,,,,,,"Small, Medium",,,,
ML Model,Algorithm,LassoCV,,,,,,"Small, Medium",,,,
ML Model,Algorithm,LassoLars,,,,,,"Small, Medium",,,,
ML Model,Algorithm,LassoLarsCV,,,,,,"Small, Medium",,,,
ML Model,Algorithm,LassoLarsIC,,,,,,"Small, Medium",,,,
ML Model,Algorithm,LatentDirichletAllocation,,,,,,"Medium, Large",,,,
ML Model,Algorithm,LedoitWolf,,,,,,Small,,,,
ML Model,Algorithm,Linear Regression,"Models the relationship between an independent variable ( X ) and a dependent variable ( Y ) using a linear function. Model strengths include : Simple, interpretable, computationally efficient, works well for linearly separable data. Weaknesses, Assumes linear relationships, sensitive to outliers. Can calculate using two different approaches, Closed Form or Gradient Decent. Closed Form Solution was the original approach, can be calculated using advanced Calculus, which is easy for simple instances with a low number of independent variables, however Gradient Decent increasingly utilized as easy to implement via numeric calculation,  Python Linear Regression utilizies Pseudoinverse, which is computationally less expensive. However, it is Big O 2² to 2³, which means doubling features increases computations complexity 4 times.

Cost function for Linear Regression is usually Mean Squared Error. While it does not have to be, it is convenient for a number of reasons. 
1) Rarely Overfits, which Polynomial equations frequently do. 
2) It always has a derivative, which makes it convenient for using closed forms solutions (saving computation complexity). Historically was applied via Closed Form Solution, which can be difficult to calculate, computationally expensive. ",,,,"$$
Y = w_0 + w_1 X + \epsilon
$$
$$
Y = w_0 + w_1 X_1 + w_2 X_2 + \dots + w_n X_n + \epsilon
$$
$$
MSE = \frac{1}{N} \sum_{i=1}^{N} (Y_i - \hat{Y}_i)^2
$$

A linear model can be written as:

$$
\mathbf{y} = \mathbf{X} \boldsymbol{\beta} + \boldsymbol{\epsilon}
$$

where:
- $( \mathbf{y} \in \mathbb{R}^{n \times 1})$ is the vector of observed values
- $( \mathbf{X} \in \mathbb{R}^{n \times p} )$ is the design matrix (with \( n \) samples and \( p \) features),
- $( \boldsymbol{\beta} \in \mathbb{R}^{p \times 1} )$ is the vector of coefficients,
- $( \boldsymbol{\epsilon} \in \mathbb{R}^{n \times 1} )$ is the error term.

The closed-form solution for the ordinary least squares (OLS) estimate of \( \boldsymbol{\beta} \) is:

$$
\hat{\boldsymbol{\beta}} = (\mathbf{X}^T \mathbf{X})^{-1} \mathbf{X}^T \mathbf{y}
$$

provided that $( \mathbf{X}^T \mathbf{X} )$ is invertible.

This formula is derived by minimizing the sum of squared errors:

$$
\mathcal{L}(\boldsymbol{\beta}) = \|\mathbf{y} - \mathbf{X} \boldsymbol{\beta} \|^2
$$

Taking the derivative with respect to $( \boldsymbol{\beta} )$ and setting it to zero:

$$
\frac{\partial \mathcal{L}}{\partial \boldsymbol{\beta}} = -2 \mathbf{X}^T (\mathbf{y} - \mathbf{X} \boldsymbol{\beta}) = 0
$$

Solving for $( \boldsymbol{\beta} )$ gives the closed-form solution above.
",,,,,
ML Model,Algorithm,LinearDiscriminantAnalysis,,,,,,Medium,,,,
ML Model,Algorithm,LinearSVC,,,,,,Medium,,,,
ML Model,Algorithm,LinearSVR,,,,,,Medium,,,,
ML Model,Algorithm,LocallyLinearEmbedding,,,,,,Small,,,,
ML Model,Algorithm,LocalOutlierFactor,,,,,,"Small, Medium",,,,
ML Model,Algorithm,Logistic Regression,"Predicts probabilities using the sigmoid function for binary classification problems.
Model Strengths include; Simple, interpretable, performs well for linearly separable data. Model Weaknesses: Struggles with non-linear relationships, assumes linear relationship between features and log-odds.",,,https://raw.githubusercontent.com/derek-dewald/d_functions/main/images/logistic.png,"### **Definition:**
Logistic Regression is used for **binary classification**. It predicts the probability that an instance belongs to a particular class.

### **Equation:**
Logistic regression applies the **sigmoid function** to a linear model:

$$
P(Y = 1 | X) = \sigma(w_0 + w_1 X_1 + w_2 X_2 + \dots + w_n X_n)
$$

where the **sigmoid function** \( \sigma(z) \) is:

$$
\sigma(z) = \frac{1}{1 + e^{-z}}
$$

This ensures that the output is in the range \( (0,1) \), representing a probability.

### **Decision Rule:**
To classify an instance:
- If $( P(Y=1|X) \geq 0.5 )$, predict class **1**.
- Otherwise, predict class **0**.

### **Objective Function:**
Logistic regression minimizes the **log-loss (cross-entropy loss)**:

$$
J(\theta) = -\frac{1}{N} \sum_{i=1}^{N} \left[ Y_i \log(\hat{Y}_i) + (1 - Y_i) \log(1 - \hat{Y}_i) \right]
$$
where $( \hat{Y}_i )$ is the predicted probability.",,,,,
ML Model,Algorithm,LogisticRegression,,,,,,Large,,,,
ML Model,Algorithm,LogisticRegressionCV,,,,,,"Medium, Large",,,,
ML Model,Algorithm,MDS,,,,,,Small,,,,
ML Model,Algorithm,MeanShift,,,,,,Small,,,,
ML Model,Algorithm,MinCovDet,,,,,,Small,,,,
ML Model,Algorithm,MiniBatchDictionaryLearning,,,,,,"Medium, Large",,,,
ML Model,Algorithm,MiniBatchKMeans,,,,,,Large,,,,
ML Model,Algorithm,MiniBatchNMF,,,,,,Large,,,,
ML Model,Algorithm,MiniBatchSparsePCA,,,,,,Large,,,,
ML Model,Algorithm,MissingIndicator,,,,,,Large,,,,
ML Model,Algorithm,MLPClassifier,,,,,,Medium,,,,
ML Model,Algorithm,MLPRegressor,,,,,,Medium,,,,
ML Model,Algorithm,MultiLabelBinarizer,,,,,,Large,,,,
ML Model,Algorithm,MultinomialNB,,,,,,"Medium, Large",,,,
ML Model,Algorithm,MultiOutputClassifier,,,,,,Medium,,,,
ML Model,Algorithm,MultiOutputRegressor,,,,,,Medium,,,,
ML Model,Algorithm,MultiTaskElasticNet,,,,,,"Small, Medium",,,,
ML Model,Algorithm,MultiTaskElasticNetCV,,,,,,"Small, Medium",,,,
ML Model,Algorithm,MultiTaskLasso,,,,,,"Small, Medium",,,,
ML Model,Algorithm,MultiTaskLassoCV,,,,,,"Small, Medium",,,,
ML Model,Algorithm,NearestCentroid,,,,,,Medium,,,,
ML Model,Algorithm,NearestNeighbors,,,,,,"Small, Medium",,,,
ML Model,Algorithm,NeighborhoodComponentsAnalysis,,,,,,Small,,,,
ML Model,Algorithm,Neural Network,,,,,,,,,,
ML Model,Algorithm,NMF,,,,,,"Medium, Large",,,,
ML Model,Algorithm,Normalizer,,,,,,Large,,,,
ML Model,Algorithm,NuSVC,,,,,,"Small, Medium",,,,
ML Model,Algorithm,NuSVR,,,,,,"Small, Medium",,,,
ML Model,Algorithm,Nystroem,,,,,,Medium,,,,
ML Model,Algorithm,OAS,,,,,,Small,,,,
ML Model,Algorithm,OneClassSVM,,,,,,Small,,,,
ML Model,Algorithm,OneVsOneClassifier,,,,,,Medium,,,,
ML Model,Algorithm,OneVsRestClassifier,,,,,,Medium,,,,
ML Model,Algorithm,OPTICS,,,,,,"Small, Medium",,,,
ML Model,Algorithm,OrthogonalMatchingPursuit,,,,,,"Small, Medium",,,,
ML Model,Algorithm,OrthogonalMatchingPursuitCV,,,,,,"Small, Medium",,,,
ML Model,Algorithm,OutputCodeClassifier,,,,,,Medium,,,,
ML Model,Algorithm,PassiveAggressiveClassifier,,,,,,Large,,,,
ML Model,Algorithm,PassiveAggressiveRegressor,,,,,,Large,,,,
ML Model,Algorithm,PatchExtractor,,,,,,Large,,,,
ML Model,Algorithm,PCA,,,,,,Large,,,,
