Process,Categorization,Word,Definition,Notes,Link,Image,Markdown Equation,Dataset Size,Learning Type,Algorithm Class,Model,Ensemble
Data Preparation,Functional Role ,Core Variables,Primary drivers of cluster formation and directly shape the geometry of the model; removing them would materially change cluster definitions. They represent the essential behaviours or states the segmentation is intended to capture and are used consistently across model iterations. Core variables define what the clusters are.,,,,,,,,,
Data Preparation,Functional Role ,Contextual Data,"Provides situational or external information that helps explain behaviour but does not define it (e.g., demographics, geography, lifecycle stage, channel access). These variables shape or influence behaviour but are not behaviours themselves. Contextual data is often better used for post-cluster interpretation, validation, or policy decisions rather than as primary clustering inputs.",,,,,,,,,
Data Preparation,Functional Role ,Structural Data,"Represents relatively stable attributes that describe a member’s financial position or configuration rather than their actions (e.g., deposit balances, loan balances, product holdings). These variables change slowly and often anchor or constrain behaviour but do not, on their own, describe how a member interacts with the institution. Structural data should be included sparingly in behavioural clustering to avoid overwhelming activity-based signals.",,,,,,,,,
Data Preparation,Definition,Semantic Type ,"Influenced by the literal definition of semantic: the meaning or  nature of a variable, describes what kind of real-world concept a variable represents, independent of any specific model. It classifies data based on meaning—such as whether a variable reflects behaviour (actions over time), structure (relatively stable state or capacity), or context (situational or explanatory attributes). Definition helps to classify the variable for inclusion, or exclusion of a model.",,,,,,,,,
Data Preparation,Definition,Functional Role ,"Describes how a variable is used within a specific model or modeling process, rather than what it represents conceptually. It classifies variables based on whether they actively shape the model (core), help interpret results (descriptive), or evaluate model quality and stability (diagnostic). For example, POS Transaction 6-Month Average may be a core variable that defines clusters, while Assignment Margin is diagnostic because it evaluates how confidently members are assigned. Classifying functional role is critical in ML modeling—especially in unsupervised learning—because it makes modeling assumptions explicit, prevents unintended variables from shaping outcomes, and enables controlled, explainable model evolution.",,,,,,,,,
Mathematics,Definition,Euclidean distance ,"Straight-line distance between two points in space, calculated as the square root of the sum of squared differences across each dimension. It is important because it provides a natural, intuitive measure of similarity in continuous numeric spaces and underpins many algorithms in geometry, physics, and machine learning (especially distance-based methods like clustering). The concept originates from Euclid, whose Elements (circa 300 BCE) formalized geometry based on distances and angles in flat space. In modern data science, Euclidean distance generalizes this idea to higher dimensions, where each feature represents an axis in space.",,,,,,,,,
Mathematics,Definition,Density-based clustering,"Density-based clustering identifies clusters as regions of high point density separated by sparse regions. It answers the question: “Which observations naturally group together, and which ones are unusual or isolated?” Its strengths include the ability to detect arbitrarily shaped clusters and identify outliers as noise. Its weaknesses are sensitivity to hyperparameters and reduced stability on very large or unevenly distributed datasets.",,,,,,,,,
ML Model,Algorithm,HDBSCAN,HDBSCAN is an extension of DBSCAN that builds a hierarchy of density-based clusters and selects stable ones automatically. It answers similar questions to DBSCAN but with improved robustness and less manual parameter tuning. Its strengths are better performance on real-world data and more reliable cluster discovery. Its weaknesses include higher computational cost and more complex interpretation.,,,,,,Unsupervised,Clustering,Denisty Based Clustering,
Mathematics,Definition,Probabilistic clustering,"Probabilistic clustering models data as coming from overlapping probability distributions rather than assigning hard cluster boundaries. It answers the question: “To what degree does this observation belong to each group?” Its strength is capturing uncertainty and mixed behaviors, which is often more realistic in human or financial data. The weakness is increased complexity, sensitivity to assumptions, and reduced interpretability for non-technical audiences.",,,,,,,,,
ML Model,Algorithm,Gaussian Mixture Model (GMM),A Gaussian Mixture Model assumes data is generated from a mixture of Gaussian distributions and assigns each observation a probability of belonging to each cluster. It is useful for soft segmentation and identifying transitional or ambiguous cases. GMMs are more flexible than KMeans but require careful feature scaling and can be unstable on high-dimensional or noisy data. They are best used when overlap between segments is expected and meaningful.,,,,,,Unsupervised,Clustering,Probabilistic clustering,
ML Model,Algorithm,Graph-based clustering,"Graph-based clustering represents data as a network where nodes are observations and edges represent similarity, then identifies communities within the graph. It answers the question: “What natural communities emerge from pairwise relationships?” Its strength is capturing complex, non-linear structure that other methods miss. Its weaknesses are scalability challenges and difficulty explaining results to non-technical stakeholders.",,,,,,Unsupervised,Clustering,Graph-based clustering,
ML Model,Algorithm,kNN graph clustering,kNN graph clustering builds a graph by connecting each observation to its nearest neighbors and then finds communities within that graph. It is useful for discovering local structure and non-obvious groupings in complex data. Its strength is flexibility and sensitivity to fine-grained patterns. Its weakness is computational cost and dependence on similarity definitions and neighborhood size.,,,,,,Unsupervised,Clustering,Graph-based clustering,
Mathematics,Definition,Instance Based Learning,"Instance-Based Learning is a learning paradigm where predictions or inferences are made by directly comparing new observations to stored examples rather than learning an explicit global model. It answers the question: “What past observations most closely resemble this one?” Its strengths are simplicity, transparency, and flexibility, as it makes few assumptions about the underlying data structure. Its weaknesses include sensitivity to feature scaling and noise, lack of global summarization, and higher computational cost at inference time for large datasets",,,,,,,,,
Organization,Definition,Policy ,"It defines mandatory rules, principles, or standards that guide decision-making and behavior across the organization.",,,,,,,,,
Organization,Definition,Process,"High level, strategic sequence of related tasks or activities that transform inputs into outputs to achieve a specific goal.",,,,,,,,,
Organization,Definition,Procedure,"Is a detailed, step by step set of instructions on how to perform a specific task or part of a process.",,,,,,,,,
Organization,Definition,RASCI,"RASCI is a responsibility assignment framework used to clarify who does the work, who is accountable, and who must be involved or informed for a given activity, decision, or deliverable.",,,,,,,,,
Organization,Definition,Ownership,"State of having end-to-end accountability for a product, service, policy, process, or outcome, including its performance, quality, and continuous improvement over time.",,,,,,,,,
Organization,Definition,Stewardship,"Responsibility to safeguard, maintain, and optimize an asset on behalf of the organization, ensuring it is used appropriately, consistently, and in compliance with policy.",,,,,,,,,
ML Definitions,Definition,Multimodal AI,"Artificial intelligence systems that can process and integrate multiple types of data, such as text, images, audio, and video, to perform tasks",,,,,,,,,
Tooling,Spark,Action,"In Spark, actions trigger the execution of transformations and return a result to the driver. The collect action retrieves all elements of an RDD and brings them to the driver, while count returns the total number of elements in the RDD, and countByValue provides the frequency of each unique element. take retrieves the first N elements, top returns the largest N elements, and reduce applies a specified associative function to aggregate all the elements of the RDD into a single result.",,,,,,,,,
Mathematics,Definition,Acyclic Graph,"A graph that does not contain any cycles. This means there is no path in the graph that starts from a node and eventually returns to the same node. There are 2 types of Acyclic Graphs, Directed and Undirected. ",,,,,,,,,
Behavioural Economics,Definition,Anchoring Effect,"A cognitive bias where people rely too heavily on the first piece of information (the “anchor”) when making decisions. Once an anchor is set, it influences subsequent judgments, even if it’s arbitrary or unrelated. For example, when asked whether the Eiffel Tower is taller or shorter than 500 feet, people’s estimates will cluster around that number. This bias can affect pricing, negotiations, and even forecasting.",,,,,,,,,
Behavioural Economics,Definition,Base Rate Fallacy,"People ignore or undervalue general statistical information (the base rate) and focus instead on specific information, often leading to incorrect conclusions. In decision-making, individuals may give more weight to anecdotal or vivid information, despite the broader statistical reality that should influence their judgment. Imagine a test for a rare disease that is 95% accurate. The disease affects 1 in 10,000 people. If a person tests positive, many might assume the likelihood of them having the disease is high. However, considering the base rate (the rarity of the disease), the probability of actually having the disease is still very low. In this scenario, the base rate fallacy would be ignoring the low prevalence of the disease (the base rate) and overestimating the accuracy of the test result, leading to an exaggerated belief in the likelihood of the person having the disease. The fallacy demonstrates how people's intuitive reasoning often neglects the significance of background statistical data in favor of more attention-grabbing or salient information.",,,,,,,,,
Behavioural Economics,Definition,Beaucratic Politics,"Organization decision making paradign in which decisions are made based solely on who is making the decision, specifically, they will decide in their own best interests. Counters prevelant theory in which a rational, fair or logical decision making process will occur.",,,,,,,,,
Behavioural Economics,Definition,Biased Assimilation,Tendency to interpret information in a way that supports a desired conclusion. ,,,,,,,,,
Behavioural Economics,Definition,Blind spot bias,"Cognitive bias where people are unaware of their own biases, while easily recognizing the biases in others.  People tend to believe they are more objective, rational, and less susceptible to biases than others, even though they may exhibit the same biases in their own thinking. Self-awareness gap: People can easily identify cognitive biases (like confirmation bias, motivated reasoning, or stereotyping) in others, but fail to recognize these biases in themselves. Overconfidence in objectivity: Individuals often overestimate their own ability to reason without bias, which can lead to an inflated sense of confidence in their decisions and beliefs. Resistance to feedback: Blind spot bias can make people resistant to feedback, because they believe that they’re viewing situations or information more objectively than they actually are.",,,,,,,,,
Behavioural Economics,Definition,Confirmation Bias,"Also known as Selective Perception. What people see can be strongly shaped by what they believe, using the example of a study which occurred during a especially dirty Princeton Dartmouth Football game. After the game people were asked to comment which team was ""Dirtier"" and results were based on which team individuals had allegiance with.

Tendency to search for, interpret, and remember information in a way that confirms one’s preexisting beliefs or hypotheses. People often ignore or downplay evidence that contradicts their views. This bias can reinforce stereotypes, polarize opinions, and skew data interpretation. It’s especially important to watch for in research, media consumption, and decision-making.",,,,,,,,,
Behavioural Economics,Definition,Fact Believability,"Facts about this epidemic that have lasted a few days are far more reliable than the latest ‘facts’ that have just come out, which may be erroneous or unrepresentative and thus misleading . . . a question that today can be answered [by] only informed belief may perhaps be answered with a fact tomorrow.",,,,,,,,,
Behavioural Economics,Definition,Facts Vs Statistics,"More likely to die in accident in evening than in morning. More drivers in evening than in morning.
More likely to die in clear weather than fog. More time occurs without fog, what does it actually mean???
9:1000 vs 16:1000 deaths in Navy vs NY. Who is in Navy, young healthy men, vs everyone else.
Polio record cases 1952, more babies, financial incentives, changes on reporting standards, etc..
Population in rural China, 28M then 5years later 108M. Survey 1 was related to Military conscription, Survey 2 famine and relief",,,,,,,,,
Behavioural Economics,Definition,Fast statistics ,"Immoderate, intuitive, visceral, and powerful.",,,,,,,,,
Behavioural Economics,Definition,Slow statistics,Thoughtful gathering of unbiased information.,,,,,,,,,
Behavioural Economics,Definition,Truth-default theory ,"54% accurate identifying liar. We can identify truth tellers far more easily, bad at identifying liars. We start in a default position of believing people and only when substantial evidence to the contrary presents itself do we change our position. In fact, we can even trivialize information away that in hindsight it rather pertinent. In a social experiement, teacher leaves room, answers are available, rando we’ve never met encouraging us to cheat.",,,,,,,,,
Behavioural Economics,Definition,Illusion of Asymmetric Insights,"The Belief that we know others better than they know us and that we may have insights about them that they lack (but not vice versa). As explained by the fill in the blanks word game, the words don’t define me, yet they do define others. CIA Officers. Judges. ",,,,,,,,,
Behavioural Economics,Definition,Intertemporal choice, Refers to decisions that involve trade-offs between costs and benefits occurring at different points in time,,,,,,,,,
Behavioural Economics,Definition,Motivated reasoning,"Cognitive phenomenon where people process information in a biased way to support their existing beliefs, desires, or emotions. Instead of evaluating evidence objectively, individuals interpret information in a way that aligns with their preferred conclusions or outcomes. Directional reasoning: When people want to arrive at a specific conclusion, they give more weight to evidence that supports their desired belief and discount or dismiss evidence that contradicts it. Accuracy reasoning: In contrast, this occurs when individuals are genuinely motivated to arrive at a correct or objective conclusion. They carefully analyze all available evidence regardless of whether it supports their initial belief. 
Type of cognitive bias where people process information in a way that aligns with their preexisting beliefs, desires, or emotions, rather than objectively evaluating the facts",,,,,,,,,
Behavioural Economics,Definition,Naive realism,"Naïve realism is a concept from social psychology and philosophy that describes the human tendency to believe that we see the world objectively, and that other people who disagree must be uninformed, irrational, or biased.  
Naïve realism explains why disagreements can become hostile. We assume others are irrational or malicious instead of recognizing legitimate differences in perspective or interpretation. It makes it harder to understand or appreciate others’ viewpoints, since we believe our view is the only valid one.It contributes to us-vs-them mentalities in politics and culture. Each side thinks it's simply seeing ""facts,"" while the other is deluded.In workplaces or teams, naïve realism can block constructive dialogue and creative problem-solving by dismissing dissenting ideas too quickly.",,,,,,,,,
Behavioural Economics,Definition,Ostrich Effect,"cognitive bias where people avoid information they perceive as potentially unpleasant or negative—like an ostrich metaphorically ""burying its head in the sand"" to avoid danger (even though real ostriches don’t actually do this).",,,,,,,,,
Behavioural Economics,Definition,Unitended Consequences KPIs,"Must consider what adverse effects one might create when measuring. Doctors won’t operate on sick patients. Data needs to be understood. Maximum day wait for appointment, doctors stopped taking appointments.",,,,,,,,,
Behavioural Economics,Definition,What Meaning Does a KPI actually have?,"Before we figure out whether nurses have had a pay raise, first find out what is meant by “nurse.” 
Before lamenting the prevalence of self-harm in young people, stop to consider whether you know what “self-harm” is supposed to mean. Before concluding that inequality has soared, ask, “Inequality of what?” Demanding a short, sharp answer to the question “Has inequality risen?” is not only unfair, but strangely incurious. If we are curious instead, and ask the right questions, deeper insight is within easy reach.
Net Wealth not indicative of poverty, Doctor who just finished med school with $100k in debt.
The billion poorest people who have a net worth of Zero might be poorer than someone with $5 as $0 doesn’t add up fast.",,,,,,,,,
Behavioural Economics,Definition,Organizations," Great at solving Problems. Bad at diagnosing problems. 
You should never trust large organizations, on the best day they’re incompetent, on a bad day they’re crooked.",,,,,,,,,
Behavioural Economics,Definition,Think about the Medium,"Weekly, daily, hourly—the metronome of the news clock changes the very nature of what is news. Daily news always seems more informative than rolling news; weekly news is typically more informative than daily news.",,,,,,,,,
Tooling,Spark,Narrow Transformation,"Each partition of the parent RDD is used by at most one partition of the child RDD. This means that data is not shuffled across the network between partitions, and each transformation can be executed locally on the same node. Examples of narrow transformations include map, filter, and flatMap. Because they don't involve data movement, narrow transformations are more efficient.]",,,,,,,,,
Tooling,Spark,Resilient Distributed Dataset (RDD),"Fundamental data structure in Apache Spark, representing an immutable, distributed collection of objects that can be processed in parallel across a cluster. RDDs provide fault tolerance through lineage, which means they can automatically recompute lost data due to node failures by keeping track of the transformations applied to the original dataset. They support two types of operations: transformations (e.g., map, filter) that define a new RDD from an existing one, and actions (e.g., collect, reduce) that return a result or save it to external storage. RDDs are designed to handle large-scale data processing efficiently, providing users with control over partitioning and persistence in memory or on disk. RDD are Key Value Pairs. They are also the original and simplest from of Data in spark.",,,,,,,,,
Tooling,Spark,SparkConf,"This is used to configure the settings of Spark, such as the master node, application name, etc",,,,,,,,,
Tooling,Spark,SparkContext,"The entry point to low-level Spark functionalities, including creating and managing RDDs. It provides the connection to the cluster and manages job execution.",,,,,,,,,
Tooling,Spark,Transformations,"In Spark, transformations are operations that create a new RDD from an existing one. The map transformation applies a 1-to-1 function mapping, creating a new RDD where each input element has one corresponding output, while flatMap allows 1-to-X mapping, potentially returning more or fewer elements than the input. Other transformations include filter (selects elements that satisfy a condition), distinct (removes duplicates), sample (extracts a random subset), union (combines two RDDs), intersection (returns common elements between multiple RDDs), subtract (removes elements found in another RDD), and cartesian (produces all combinations of elements from two RDDs).",,,,,,,,,
Theorem,Definition,Occam's Razor,"Philosophical principle that suggests when faced with multiple explanations for a phenomenon, the simplest one is often the best. It emphasizes minimizing unnecessary assumptions and complexity while ensuring the explanation or solution remains sufficient to address the problem. Simpler models or explanations are easier to understand, communicate, and test, they avoid overfitting, and provides a heuristic for prioritizing hypotheses that require fewer assumptions, allowing for a more structured and efficient approach to problem-solving.",,,,,,,,,
Mathematics,Definition,Mean Absolute Error,Mean Absolute Error measures the average absolute difference between actual and predicted values. It is easy to interpret and gives equal weight to all errors.. Manhattan Norm. L1 Norm,,,,,,,,,
Mathematics,Definition,Mean Absolute Error (MAE),"Absolute difference between Y and Y hat. It is easy to calcuate, rarely utilized given advantages of MSE and RMSE.",,,,,,,,,
Mathematics,Definition,Mean Absolute Percentage Error (MAPE),"Measures differences between Prediction and Actual as expressed by percentages, opposed to absolute error. Scale indepedent, not as useful when values near zero.",,,,,,,,,
Mathematics,Definition,Margin of Error,"The margin of error represents the range within which the true population value is expected to lie, given the sample estimate. It is usually expressed as a percentage (e.g., ±5%). It helps determine how precise or reliable the sample estimate is, indicating the level of uncertainty in the results.",,,,,,,,,
Mathematics,Definition,Manifold Hypothesis,"The manifold hypothesis suggests that although data lives in a very high-dimensional space, the meaningful structure (e.g., images of digits) lies on a much lower-dimensional surface (the manifold). While digits like ""3"" and ""8"" are visually distinct, they are all constrained by shared generative factors (stroke thickness, slant, etc.), so they occupy nearby regions of this manifold — which is tiny compared to the full space. A manifold is a smooth shape that may curve and twist in space but can be described with a few dimensions. Machine learning models assume that high-dimensional data lies on such a shape, allowing them to learn simpler patterns.","Manifold is different than linear interpolation, manifold is a slow gradual change, linear is averaging/combining.",,,,,,,,
ML Definitions,General Principles,XOR,"Not Linearly Seperable. Problem for ML. Nand as Function of (x1,x2) new function (h1, h2) - ",,,,,,,,,
Theorem,Definition,Pareto Principle,"80/20 Rule, is a principle named after the Italian economist Vilfredo Pareto, who observed that roughly 80% of the effects come from 20% of the causes.",,,,,,,,,
Tooling,Definition,Spark,"A fast and general engine for large scale data processing. Distributes information across nodes to limit strain and bottleneck on individual machine. Runs ontop of a cluster Manager, script like any other script, Spark knows how to distribute . Master Program run code and manages interactions between slave tasks (executors). Can run ontop of a Hadoop Cluster – Yarn. Fault tolerant – allows node to go down without crashing or restarting job. A distributed processing framework written primarily in the Scala programming language. The framework offers different language APIs on top of the core Scala-based framework. Spark maintains MapReduce’s linear scalability and fault tolerance, but extends it in three important ways: First, rather than relying on a rigid map-then-reduce format, its engine can execute a more general directed acyclic graph of operators. This means that in situations where MapReduce must write out intermediate results to the distributed filesystem, Spark can pass them directly to the next step in the pipeline. Second, it complements its computational capability with a rich set of transformations that enable users to express computation more naturally. Out-of-the-box functions are provided for various tasks, including numerical computation, datetime processing, and string manipulation. Third, Spark extends its predecessors with in-memory processing. This means that future steps that want to deal with the same dataset need not recompute it or reload it from disk. Spark is well-suited for highly iterative algorithms as well as ad hoc queries.
Apache Spark is an open-source, distributed computing system designed for fast processing of large-scale data by performing tasks in-memory, which significantly speeds up computation compared to disk-based systems like Hadoop. Spark is particularly known for its lazy evaluation model, where transformations on data (such as map or filter) are not executed immediately but are only computed when an action (like collect or reduce) is triggered. This allows Spark to optimize the execution plan by minimizing the number of data passes and combining transformations. Unlike traditional systems that rely heavily on disk storage, Spark primarily keeps data in memory, leading to faster processing, though it can spill to disk if memory limits are exceeded. This design makes it highly efficient for iterative machine learning algorithms and interactive data analytics. Overhead using PySpark because of conversation to Java, P4J Python for Java.Difference Between PySpark and Python Terminal. PySpark, session is already active.",,,,,,,,,
Tooling,Spark,Pyspark,"It is the storage layer of the Apache Hadoop ecosystem, designed to store and manage large volumes of data across a distributed cluster of machines. Files are split into blocks (default: 128MB or 256MB).These blocks are distributed across multiple nodes in a cluster.Each block is replicated (default: 3 copies) across different machines. If one node fails, data is still accessible from other nodes.Files in HDFS are typically written once and read many times. Optimized for streaming reads of large files, not quick random access.",,,,,,,,,
Tooling,Spark,SparkSQL,"A Spark module for structured data processing. It is part of the core Spark framework and accessible through all of its language APIs, including PySpark.",,,,,,,,,
Theorem,Definition,Parkinson's law of triviality,"When a group is asked to make decisions, they often spend the most time on the simplest, least important aspects because these are easier to understand and discuss. For example, in a meeting to approve the budget for a nuclear power plant, more time might be spent discussing the design of a bike shed for employees than on the complex technicalities of the plant itself. This is because everyone understands and feels competent to discuss the bike shed, but few are knowledgeable enough to weigh in on the technical aspects of the power plant. Misallocation of Resources: The law of triviality suggests that important decisions are often overshadowed by trivial ones, leading to a misallocation of attention and resources. Cognitive Bias: People tend to focus on topics they feel more comfortable with, even if those topics are less critical. This can result in ineffective decision-making where the more significant and complex issues are neglected.",,,,,,,,,
Theorem,Definition,Parkinson's' Law,work expands to fill the time available for its completion,,,,,,,,,
Tooling,Hadoop,HDFS,"It is the storage layer of the Apache Hadoop ecosystem, designed to store and manage large volumes of data across a distributed cluster of machines. Files are split into blocks (default: 128MB or 256MB).These blocks are distributed across multiple nodes in a cluster.Each block is replicated (default: 3 copies) across different machines. If one node fails, data is still accessible from other nodes.Files in HDFS are typically written once and read many times. Optimized for streaming reads of large files, not quick random access.",,,,,,,,,
Tooling,Paradigm,Distributed Computing,"A simple way to think about distributed systems is that they are a group of independent computers that appear to the end user as a single computer. They allow for horizontal scaling. That means adding more computers rather than upgrading a single system (vertical scaling). The latter is relatively expensive and often insufficient for large workloads. Distributed systems are great for scaling and reliability but also introduce complexity when it comes to design, construction, and debugging. One should understand this trade-off before opting for such a tool. A great tool when: Data does not fit into RAM, must be partitioned, Increases Cost of Moving Data, Memory Faster than Harddrive, Increased cost and risk of failure.",,,,,,,,,
Data Engineering,Definition,Cache,"Cache takes load away from critical systems. Databases. Things that are looked up every second, minute. Can Cache at every layer.  Memory Buffers exist everywhere. Authentication is terrible caching. Don't Cache purchases and refunds. Search Queries, too broad. Can't cache transaction.",,,,,,,,,
Graph Theory,Definition,Centrality,,,,,,,,,,
Graph Theory,Definition,Edge Weght,,,,,,,,,,
Graph Theory,Definition,Edges,,,,,,,,,,
Graph Theory,Definition,Grapth Theory,,,,,,,,,,
Graph Theory,Definition,Nodes,,,,,,,,,,
Graph Theory,Definition,Page Rank,,,,,,,,,,
Tooling,Definition,Azure Synapse Analytics,"Azure Synapse Analytics provides a single, cloud-scale platform that supports multiple analytical technologies; enabling a consolidated and integrated experience for data engineers, data analysts, data scientists, and other professionals who need to work with data.",,,,,,,,,
Data Engineering,Definition,Batch and API Processing,"Batch processing is simplier, and more heavily reliant on transformations conducted with a Data Warehouse, API, great for smaller, incremental review or transaction level processes.",,,,,,,,,
Tooling,Definition,FastAPI,"Simplified Framework for creating API and dstributing. You lose some control relative to Flask, however you gain simplicity, do not need to think about and address ever detail.",,,,,,,,,
Tooling,Definition,Pydantic,"Pydantic is a data validation and settings management library in Python, primarily used to validate data against a specific data model (schema) and to parse and serialize complex data types. A ""Pydantic model"" refers to a class definition in Python that inherits from pydantic.BaseModel. These models define the structure of data that you expect to receive or send in your application and allow you to enforce constraints on that data.",,,,,,,,,
Data Engineering,Definition,Wrapper,A wrapper is a small piece of code whose only job is to run something else in a controlled way. It doesnt change the code.It does not change your program’s logic. It just sets up the environment and then calls the real program.,,,,,,,,,
Data Engineering,Definition,Shebang,First line of a script that tells the operating system which interpreter should be used to run that file.,,,,,,,,,
Data Engineering,Automating Python,Creating Shell,"mkdir -p ~/scripts ~/logs
nano ~/scripts/automated_job_name.sh
#!/bin/bash
/Users/derekdewald/anaconda3/envs/d2/bin/python /Users/derekdewald/Documents/Python/Github_Repo/automated_py_jobs/daily_job.py
chmod +x ~/scripts/daily_d_py_job.sh",,,,,,,,,
Data Engineering,Automating Python,Creating Automated Task,"
<?xml version=""1.0"" encoding=""UTF-8""?>
<!DOCTYPE plist PUBLIC ""-//Apple//DTD PLIST 1.0//EN""
""http://www.apple.com/DTDs/PropertyList-1.0.dtd"">
<plist version=""1.0"">
<dict>
    <key>Label</key>
    <string>com.derekdewald.daily_d2_job</string>

    <key>ProgramArguments</key>
    <array>
        <string>/Users/derekdewald/scripts/run_d2_job.sh</string>
    </array>

    <key>StartCalendarInterval</key>
    <dict>
        <key>Hour</key><integer>22</integer>
        <key>Minute</key><integer>57</integer>
    </dict>

    <key>StandardOutPath</key>
    <string>/Users/derekdewald/logs/d2_job.out</string>

    <key>StandardErrorPath</key>
    <string>/Users/derekdewald/logs/d2_job.err</string>
</dict>
</plist>

launchctl load ~/Library/LaunchAgents/com.derekdewald.daily_d2_job.plist",,,,,,,,,
Data Engineering,Automating Python,Testing Shell,~/scripts/daily_shell_job.sh,,,,,,,,,
